quarter,level_1,level_2,value
1995-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,2995
1995-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,4440
1995-Q4,All Types Private Residential Properties Available,Available Landed Properties,59796
1995-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,69310
1995-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,2905
1995-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,4418
1996-Q1,All Types Private Residential Properties Available,Available Landed Properties,60030
1996-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,70707
1996-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,3714
1996-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,5097
1996-Q2,All Types Private Residential Properties Available,Available Landed Properties,60740
1996-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,84345
1996-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,3785
1996-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,5170
1996-Q3,All Types Private Residential Properties Available,Available Landed Properties,61091
1996-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,85732
1996-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,3544
1996-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,5005
1996-Q4,All Types Private Residential Properties Available,Available Landed Properties,61594
1996-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,87520
1996-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,3798
1996-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,5464
1997-Q1,All Types Private Residential Properties Available,Available Landed Properties,61734
1997-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,90056
1997-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,3545
1997-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,7357
1997-Q2,All Types Private Residential Properties Available,Available Landed Properties,62062
1997-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,92422
1997-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,3733
1997-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,9082
1997-Q3,All Types Private Residential Properties Available,Available Landed Properties,62742
1997-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,95704
1997-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,3920
1997-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,10259
1997-Q4,All Types Private Residential Properties Available,Available Landed Properties,63231
1997-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,98042
1997-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,3790
1997-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,10677
1998-Q1,All Types Private Residential Properties Available,Available Landed Properties,63261
1998-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,100612
1998-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,3886
1998-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,10290
1998-Q2,All Types Private Residential Properties Available,Available Landed Properties,63542
1998-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,103416
1998-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,4002
1998-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,12067
1998-Q3,All Types Private Residential Properties Available,Available Landed Properties,64132
1998-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,106059
1998-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,4034
1998-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,12459
1998-Q4,All Types Private Residential Properties Available,Available Landed Properties,64258
1998-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,109315
1998-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,3441
1998-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,12171
1999-Q1,All Types Private Residential Properties Available,Available Landed Properties,64561
1999-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,111770
1999-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,3339
1999-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,11453
1999-Q2,All Types Private Residential Properties Available,Available Landed Properties,64850
1999-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,114444
1999-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,3751
1999-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,11147
1999-Q3,All Types Private Residential Properties Available,Available Landed Properties,64840
1999-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,115946
1999-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,3609
1999-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,10048
1999-Q4,All Types Private Residential Properties Available,Available Landed Properties,64976
1999-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,118575
1999-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,3498
1999-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,11212
2000-Q1,All Types Private Residential Properties Available,Available Landed Properties,65467
2000-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,120036
